Jogador,MINS,PTS,FGA,FTA,DR,OR,AST,TO,STL,BLK,PF,FPG,FPM,Contract,Duration
Saben Lee,8.38,2.25,1.75,1.25,0.25,0.13,0.88,0.63,0.50,0.13,1.13,1.36,0.16,0,0
Maurice Harkless,12.25,1.50,1.25,0.25,1.00,0.00,0.63,0.25,0.25,0.25,1.38,1.36,0.11,0,0
Tyrell Terry,6.00,1.10,1.50,0.30,0.60,0.00,0.60,0.20,0.50,0.00,0.20,1.28,0.21," $1,000,000","4 anos
1.28FPG "
Bol Bol,5.82,1.36,1.36,0.18,0.64,0.00,0.18,0.45,0.00,0.36,0.64,1.23,0.21," $2,500,000","3 anos
1.23FPG "
Damian Jones,8.44,1.44,1.11,1.00,1.00,0.67,0.00,0.56,0.11,0.56,2.00,1.18,0.14," $1,000,000","1 anos
1.18FPG "
Jahmi'us Ramsey,4.25,1.25,1.00,0.00,1.00,0.00,0.25,0.25,0.00,0.25,0.00,1.18,0.28," $1,000,000","4 anos
1.18FPG "
Frank Jackson,6.14,1.57,2.29,0.00,0.71,0.00,1.14,0.57,0.14,0.00,0.57,1.17,0.19," $1,500,000","1 anos
1.17FPG "
Nick Richards,2.60,1.40,0.40,0.80,0.40,0.20,0.00,0.00,0.00,0.00,0.40,1.12,0.43,0,0
Luka Samanic,2.50,1.75,1.50,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.05,0.42,0,0
Kelan Martin,4.56,1.22,1.78,0.00,0.89,0.11,0.00,0.44,0.22,0.00,0.44,0.98,0.21,0,0
Vlatko Cancar,3.18,0.00,0.64,0.00,0.55,0.18,0.00,0.18,0.27,0.18,0.18,0.96,0.30,0,0
Luke Kornet,4.00,1.00,1.00,1.00,0.50,0.00,0.00,0.50,0.50,0.00,0.00,0.95,0.24," $1,000,000","1 anos
0.95FPG "
Sindarius Thornwell,7.44,1.11,1.44,0.22,0.33,0.11,0.22,0.11,0.56,0.00,0.56,0.86,0.11,0,0
Ignas Brazdeikis,2.00,0.50,0.25,0.50,0.25,0.25,0.25,0.25,0.00,0.00,0.00,0.85,0.43,0,0
Karim Mane,9.00,2.00,1.75,0.50,1.50,0.00,0.25,0.50,0.00,0.25,1.00,0.75,0.08,0,0
Cassius Stanley,3.25,1.13,0.88,0.63,0.13,0.25,0.00,0.13,0.00,0.25,0.88,0.64,0.20, $0,"2 anos
0.64FPG "
Keita Bates-Diop,2.50,0.33,0.83,0.33,0.17,0.00,0.33,0.00,0.00,0.00,0.00,0.47,0.19," $1,000,000","4 anos
0.47FPG "
Markus Howard,3.09,1.18,1.82,0.00,0.18,0.00,0.27,0.18,0.00,0.00,0.36,0.46,0.15,0,0
Ty-Shon Alexander,3.00,0.00,1.00,0.00,0.33,0.00,0.33,0.00,0.00,0.00,0.33,0.30,0.10,0,0
Deividas Sirvydis,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0,0
Jalen Harris,2.00,0.00,0.00,0.00,0.00,0.50,0.00,0.50,0.00,0.00,1.00,0.05,0.03,0,0
Nate Hinton,3.17,1.33,2.00,0.33,0.00,0.00,0.00,0.33,0.17,0.17,0.17,0.02,0.01, $0,"2 anos
0.02FPG "
Anthony Gill,2.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
Terrance Ferguson,5.00,0.00,0.60,0.00,0.20,0.00,0.40,0.20,0.00,0.00,0.60,-0.22,-0.04,0,0
Norvel Pelle,17.00,2.00,4.00,0.00,2.00,3.00,0.00,3.00,0.00,3.00,6.00,-0.40,-0.02,0,0
Theo Pinson,2.71,0.29,0.86,0.00,0.14,0.00,0.00,0.00,0.00,0.00,0.29,-0.63,-0.23,0,0
