Jogador,MINS,PTS,FGA,FTA,DR,OR,AST,TO,STL,BLK,PF,FPG,FPM,Contract,Duration
Terry Rozier,33.14,18.38,14.38,2.62,3.38,0.57,2.90,1.67,1.38,0.43,1.95,17.65,0.53," $5,000,000","4 anos
17.65FPG "
Mikal Bridges,34.00,14.43,10.43,2.61,4.04,1.48,2.26,0.70,0.61,1.09,2.00,17.64,0.52," $3,500,000","2 anos
17.64FPG "
De'Andre Hunter,32.28,17.22,11.78,4.06,4.50,0.89,2.22,1.39,0.94,0.50,2.61,17.36,0.54," $3,500,000","3 anos
17.36FPG "
Aaron Gordon,29.37,13.79,11.21,4.21,5.47,1.74,4.16,2.79,0.74,0.84,2.00,17.35,0.59," $16,500,000","3 anos
17.35FPG "
Tyler Herro,33.63,17.13,14.31,2.75,5.63,0.38,3.88,2.75,0.44,0.31,1.63,17.34,0.52," $2,500,000","3 anos
17.34FPG "
Tyrese Haliburton,29.38,11.86,9.19,0.71,2.67,1.00,5.43,1.52,1.19,0.62,1.24,17.34,0.59," $4,000,000","4 anos
17.34FPG "
Richaun Holmes,30.82,13.00,8.36,2.45,5.59,2.55,1.86,1.45,0.68,1.77,4.18,17.29,0.56," $3,500,000","3 anos
17.29FPG "
Chris Boucher,23.46,13.79,9.17,3.21,4.50,2.04,1.04,0.67,0.50,1.92,2.67,17.19,0.73," $1,000,000","1 anos
17.19FPG "
Lauri Markkanen,30.64,19.14,13.21,3.21,5.50,0.57,0.86,1.71,0.57,0.36,2.21,17.11,0.56," $4,000,000","1 anos
17.11FPG "
Kyle Anderson,28.63,12.68,10.68,2.42,5.58,1.00,3.79,1.63,0.74,0.74,1.79,17.08,0.60," $4,000,000","3 anos
17.08FPG "
D 'Angelo Russell,29.35,19.25,16.30,3.20,2.15,0.45,5.05,2.75,1.10,0.50,1.95,16.83,0.57," $18,000,000","3 anos
16.83FPG "
Andrew Wiggins,32.04,17.63,14.42,3.38,3.71,1.04,2.21,1.50,0.54,1.33,2.50,16.80,0.52," $13,000,000","3 anos
16.80FPG "
Michael Porter Jr.,26.77,14.62,10.85,1.69,5.08,1.38,0.92,1.15,1.08,1.00,2.15,16.78,0.63," $3,500,000","2 anos
16.78FPG "
RJ Barrett,35.24,17.20,15.12,4.08,5.12,1.24,3.08,1.96,0.72,0.20,2.44,16.74,0.48," $5,000,000","3 anos
16.74FPG "
Jordan Clarkson,25.67,17.54,14.04,1.50,3.42,0.96,1.75,1.83,0.88,0.29,1.46,16.65,0.65," $5,000,000","4 anos
16.65FPG "
Keldon Johnson,30.29,14.17,11.13,3.75,5.33,1.83,2.13,1.50,0.83,0.54,2.42,16.64,0.55," $2,000,000","3 anos
16.64FPG "
Steven Adams,30.33,8.62,6.24,2.57,5.29,4.38,2.43,1.90,0.90,0.57,1.95,16.56,0.55," $14,500,000","2 anos
16.56FPG "
Brandon Clarke,28.76,13.29,11.88,1.88,4.06,1.71,1.65,0.65,1.24,0.71,1.53,16.30,0.57," $4,000,000","3 anos
16.30FPG "
Devonte' Graham,33.70,14.22,12.70,3.09,2.43,0.57,5.87,1.39,1.09,0.00,1.57,16.17,0.48," $12,000,000","4 anos
16.17FPG "
Marcus Smart,32.41,13.06,11.06,3.65,2.35,0.41,6.06,1.76,1.82,0.53,2.29,16.12,0.50," $6,000,000","2 anos
16.12FPG "
Montrezl Harrell,24.92,13.24,8.48,3.20,4.12,2.28,1.00,1.20,0.76,0.68,2.16,16.00,0.64," $15,000,000","4 anos
16.00FPG "
OG Anunoby,35.18,14.65,10.41,2.76,4.24,1.59,1.59,1.76,2.06,0.53,2.88,15.98,0.45," $2,000,000","1 anos
15.98FPG "
P.J. Washington,29.29,12.24,10.14,3.00,5.00,1.86,2.95,2.05,1.00,1.33,2.76,15.93,0.54," $3,000,000","3 anos
15.93FPG "
Wendell Carter Jr.,27.07,12.79,8.71,4.43,5.64,2.36,2.43,1.93,0.64,0.64,3.07,15.83,0.58," $4,000,000","2 anos
15.83FPG "
Serge Ibaka,24.88,11.83,9.29,1.54,4.88,1.92,1.71,1.33,0.21,1.33,2.00,15.71,0.63," $15,000,000","1 anos
15.71FPG "
Larry Nance Jr.,33.74,9.26,7.63,1.11,5.37,1.42,3.21,1.47,1.95,0.53,2.16,15.68,0.46," $8,000,000","4 anos
15.68FPG "
Bobby Portis,21.75,11.04,8.63,1.04,5.42,2.00,1.13,0.79,0.83,0.50,1.96,15.59,0.72," $6,000,000","3 anos
15.59FPG "
Eric Gordon,28.83,18.39,13.11,4.11,2.11,0.33,2.28,1.89,0.61,0.50,1.28,15.48,0.54," $3,000,000","3 anos
15.48FPG "
Lonzo Ball,30.58,13.42,12.11,0.84,3.84,0.47,4.63,2.11,1.37,0.58,2.47,15.47,0.51," $5,000,000","1 anos
15.47FPG "
Cody Zeller,24.90,8.90,8.10,2.30,5.30,2.90,2.70,0.60,0.70,0.70,2.40,15.44,0.62," $4,000,000","1 anos
15.44FPG "
Evan Fournier,28.93,17.79,12.71,5.36,2.21,0.29,3.64,2.07,1.00,0.43,2.29,15.39,0.53," $5,000,000","4 anos
15.39FPG "
Tim Hardaway Jr.,31.60,17.44,13.88,2.48,3.36,0.24,1.72,0.92,0.72,0.20,1.60,15.32,0.48," $6,000,000","1 anos
15.32FPG "
Thaddeus Young,25.74,11.26,8.74,1.42,3.05,2.21,4.37,1.95,1.37,0.53,2.74,15.28,0.59," $4,000,000","2 anos
15.28FPG "
Delon Wright,28.17,9.35,7.70,2.30,3.48,1.04,4.70,1.17,1.48,0.52,1.13,15.26,0.54," $3,000,000","3 anos
15.26FPG "
Kemba Walker,27.44,15.89,15.56,2.78,2.78,0.67,4.00,1.78,1.22,0.22,1.33,15.22,0.55," $22,500,000","3 anos
15.22FPG "
Coby White,33.70,14.87,13.48,2.26,4.39,0.39,5.35,2.48,0.43,0.13,2.43,15.08,0.45," $4,500,000","3 anos
15.08FPG "
Buddy Hield,35.26,15.91,14.09,1.83,4.43,0.30,2.96,1.87,0.96,0.35,2.65,14.90,0.42," $15,000,000","4 anos
14.90FPG "
Thomas Bryant,27.50,14.30,9.10,2.40,4.30,1.80,1.50,1.10,0.40,0.80,3.10,14.90,0.54," $2,500,000","2 anos
14.90FPG "
LaMarcus Aldridge,26.78,14.11,12.50,1.17,3.50,0.83,1.94,0.89,0.39,0.89,1.50,14.88,0.56," $16,000,000","2 anos
14.88FPG "
Otto Porter Jr.,23.24,11.76,9.06,2.18,5.24,1.24,2.00,1.00,0.59,0.18,1.53,14.87,0.64," $5,000,000","3 anos
14.87FPG "
Mitchell Robinson,29.28,8.64,5.92,1.68,4.56,3.60,0.44,0.80,1.12,1.60,2.88,14.84,0.51," $10,000,000","4 anos
14.84FPG "
Darius Bazley,30.65,12.00,11.13,2.26,7.00,0.61,1.57,1.87,0.43,0.74,1.13,14.71,0.48, $0,"1 anos
14.71FPG "
Mason Plumlee,27.39,9.70,6.61,2.74,5.65,3.04,3.00,2.13,0.96,0.61,3.52,14.70,0.54," $4,000,000","2 anos
14.70FPG "
Darius Garland,32.65,16.06,14.24,1.65,1.88,0.53,5.53,2.59,0.94,0.18,2.29,14.68,0.45," $4,000,000","3 anos
14.68FPG "
Jusuf Nurkic,23.83,9.83,8.58,2.25,5.75,1.92,2.75,1.92,0.92,0.92,2.75,14.63,0.61," $14,000,000","2 anos
14.63FPG "
Bojan Bogdanovic,30.92,15.92,12.25,3.17,3.33,0.54,2.13,1.42,0.33,0.04,1.58,14.60,0.47," $7,000,000","3 anos
14.60FPG "
Dennis Schroder,31.64,14.44,11.72,3.84,3.08,0.64,4.44,2.08,0.84,0.16,2.64,14.52,0.46," $12,000,000","2 anos
14.52FPG "
Tyus Jones,24.68,8.68,8.47,0.58,2.26,0.53,5.58,0.95,1.32,0.16,0.47,14.43,0.58," $2,000,000","3 anos
14.43FPG "
Joe Harris,31.84,15.04,10.80,0.60,2.96,0.68,2.04,0.84,0.52,0.24,2.44,14.31,0.45," $1,000,000","1 anos
14.31FPG "
Nicolas Batum,29.83,10.21,7.08,1.08,3.75,1.00,2.42,0.75,1.25,0.29,1.88,14.28,0.48," $1,000,000","4 anos
14.28FPG "
Jeremy Lamb,25.09,12.91,8.27,2.64,3.09,1.09,1.55,0.91,1.00,0.73,2.00,14.05,0.56," $2,000,000","4 anos
14.05FPG "
Eric Bledsoe,29.81,13.71,11.38,2.05,3.14,0.52,3.71,1.95,0.67,0.29,1.62,13.97,0.47," $10,500,000","3 anos
13.97FPG "
Kevin Love,24.50,9.50,9.00,2.50,5.00,1.00,2.50,1.50,0.50,0.00,0.50,13.80,0.56," $10,000,000","3 anos
13.80FPG "
Alec Burks,26.46,13.31,10.15,3.15,3.85,0.62,2.31,1.23,1.00,0.38,2.15,13.70,0.52," $1,000,000","1 anos
13.70FPG "
Kelly Oubre Jr.,28.71,13.75,12.42,3.00,4.17,1.25,1.29,1.46,1.04,0.88,2.38,13.68,0.48," $5,000,000","3 anos
13.68FPG "
Markelle Fultz,27.13,12.88,13.00,2.38,2.50,0.63,5.38,2.25,0.88,0.25,2.25,13.51,0.50," $5,500,000","1 anos
13.51FPG "
Blake Griffin,31.12,12.24,11.00,3.18,5.06,0.35,3.71,1.71,0.65,0.12,1.94,13.46,0.43," $24,500,000","1 anos
13.46FPG "
Derrick Rose,22.87,14.20,12.27,3.33,1.53,0.40,4.20,1.93,1.20,0.27,1.13,13.45,0.59," $5,000,000","2 anos
13.45FPG "
Kevin Huerter,31.74,12.26,10.78,0.83,2.83,0.83,3.61,1.26,1.17,0.17,2.39,13.38,0.42," $2,500,000","2 anos
13.38FPG "
Joe Ingles,25.95,10.05,7.40,0.75,3.05,0.55,4.55,1.55,0.35,0.20,1.75,13.38,0.52," $4,000,000","2 anos
13.38FPG "
Marvin Bagley III,25.00,12.30,10.65,2.70,5.30,2.13,0.91,1.57,0.48,0.48,2.57,13.32,0.53," $5,000,000","2 anos
13.32FPG "
Hamidou Diallo,22.87,12.57,9.04,4.09,3.96,0.96,2.30,1.43,1.04,0.30,2.39,13.32,0.58," $1,000,000","4 anos
13.32FPG "
Brook Lopez,27.63,10.71,8.50,1.33,3.67,1.46,0.63,0.79,0.58,1.42,1.92,13.23,0.48," $4,000,000","2 anos
13.23FPG "
Donte DiVincenzo,25.63,9.67,8.58,0.71,3.38,1.04,2.63,1.17,1.29,0.25,1.33,13.20,0.51," $3,000,000","2 anos
13.20FPG "
Royce O'Neale,32.17,7.88,5.75,0.92,5.67,1.08,2.29,1.04,0.67,0.58,2.71,13.17,0.41," $2,000,000","1 anos
13.17FPG "
Monte Morris,26.87,11.09,8.61,1.74,1.91,0.26,3.52,0.65,0.74,0.26,0.78,13.17,0.49," $4,000,000","4 anos
13.17FPG "
Josh Hart,27.95,7.95,6.05,1.82,6.32,1.14,1.91,0.64,0.77,0.09,2.18,13.03,0.47," $2,500,000","1 anos
13.03FPG "
Rui Hachimura,28.67,12.92,10.42,4.33,4.00,1.25,2.25,1.08,0.42,0.08,2.25,13.03,0.45," $3,500,000","3 anos
13.03FPG "
DeMarcus Cousins,19.35,8.85,8.10,2.20,6.15,1.25,2.45,1.70,0.90,0.75,2.95,12.85,0.66," $25,000,000","2 anos
12.85FPG "
Goran Dragic,27.00,14.35,11.47,2.76,2.65,0.41,5.29,3.00,0.53,0.12,2.65,12.84,0.48," $5,000,000","1 anos
12.84FPG "
George Hill,26.43,11.79,8.57,1.79,1.50,0.57,3.07,0.86,0.86,0.14,0.86,12.84,0.49," $1,000,000","3 anos
12.84FPG "
Will Barton,29.87,11.52,10.09,1.87,3.26,0.48,3.26,1.43,0.83,0.48,1.87,12.74,0.43," $9,000,000","2 anos
12.74FPG "
Norman Powell,27.55,15.77,11.64,3.36,2.14,0.36,1.36,1.27,1.14,0.18,1.91,12.72,0.46," $3,500,000","3 anos
12.72FPG "
Draymond Green,28.55,4.95,5.40,1.35,4.80,0.55,7.65,2.80,1.45,0.50,3.05,12.66,0.44," $17,500,000","3 anos
12.66FPG "
Rudy Gay,22.26,11.13,9.87,1.65,4.35,1.00,1.48,1.13,0.70,0.57,1.87,12.61,0.57," $6,000,000","1 anos
12.61FPG "
Jakob Poeltl,21.54,6.08,4.75,1.46,3.75,2.96,1.79,1.04,0.50,1.33,2.04,12.48,0.58," $4,500,000","4 anos
12.48FPG "
Kelly Olynyk,26.55,10.18,8.68,0.64,4.59,1.00,2.23,1.36,0.86,0.68,2.50,12.47,0.47," $7,500,000","2 anos
12.47FPG "
Patty Mills,25.96,13.42,10.71,1.33,1.63,0.29,2.71,0.83,0.67,0.04,1.50,12.43,0.48," $1,000,000","2 anos
12.43FPG "
Justin Holiday,31.79,11.25,8.17,1.46,3.50,0.67,1.50,0.71,1.29,0.38,2.50,12.40,0.39," $1,000,000","1 anos
12.40FPG "
Ivica Zubac,19.92,8.00,4.48,2.32,4.32,2.28,1.00,0.96,0.40,0.88,2.44,12.39,0.62," $1,000,000","2 anos
12.39FPG "
Seth Curry,27.65,12.12,8.59,1.53,1.59,0.18,2.71,1.12,0.88,0.35,1.71,12.38,0.45," $1,000,000","1 anos
12.38FPG "
T.J. McConnell,22.10,4.71,4.67,0.33,2.43,0.71,6.67,1.86,1.71,0.19,1.33,12.38,0.56," $2,500,000","4 anos
12.38FPG "
Kyle Kuzma,24.12,10.12,9.20,0.80,4.08,1.72,1.12,1.32,0.28,0.72,1.68,12.32,0.51," $8,000,000","3 anos
12.32FPG "
Naz Reid,22.86,12.59,9.27,2.50,3.68,1.41,1.23,1.32,0.68,1.27,3.32,12.26,0.54, $0,"1 anos
12.26FPG "
DeAndre Jordan,20.67,6.71,3.75,1.38,5.17,1.58,1.79,1.63,0.38,1.33,2.21,12.24,0.59," $17,000,000","2 anos
12.24FPG "
Shake Milton,24.81,14.14,10.86,3.76,1.33,0.52,3.05,1.48,0.76,0.19,2.19,12.23,0.49," $1,000,000","2 anos
12.23FPG "
Dillon Brooks,29.16,15.32,15.63,2.21,2.37,1.26,2.68,2.16,1.32,0.47,3.00,12.23,0.42," $1,000,000","1 anos
12.23FPG "
Cameron Johnson,26.35,11.39,9.26,1.13,3.09,0.70,1.52,0.83,0.65,0.30,1.35,12.20,0.46," $1,500,000","3 anos
12.20FPG "
Cole Anthony,27.25,11.29,10.92,2.29,3.63,0.83,3.92,2.08,0.71,0.46,2.13,12.18,0.45," $3,500,000","4 anos
12.18FPG "
Kendrick Nunn,26.67,13.20,11.00,1.13,2.87,0.53,2.40,1.93,0.93,0.20,1.60,12.17,0.46," $5,000,000","3 anos
12.17FPG "
Doug McDermott,25.83,12.96,9.83,1.54,3.21,1.04,1.29,1.00,0.25,0.08,1.79,12.11,0.47," $1,000,000","2 anos
12.11FPG "
James Wiseman,21.15,12.15,9.80,3.05,4.55,1.50,0.70,1.60,0.40,1.30,3.15,12.10,0.57," $5,000,000","4 anos
12.10FPG "
JaMychal Green,21.58,10.63,8.00,1.63,4.53,1.74,1.00,1.16,0.63,0.11,2.58,12.02,0.56," $3,500,000","1 anos
12.02FPG "
Jalen Brunson,23.52,11.19,7.86,2.29,2.81,0.29,3.48,1.29,0.43,0.00,1.52,12.00,0.51," $1,000,000","2 anos
12.00FPG "
Tristan Thompson,22.80,7.05,5.65,2.10,5.70,2.85,0.85,1.05,0.30,0.45,2.35,11.87,0.52," $6,500,000","3 anos
11.87FPG "
Gorgui Dieng,19.00,8.50,5.44,1.56,3.56,1.44,1.56,1.19,0.94,0.81,1.81,11.83,0.62," $1,000,000","2 anos
11.83FPG "
Daniel Theis,23.64,9.32,6.18,1.50,3.86,1.27,1.36,0.95,0.55,0.91,2.59,11.72,0.50," $1,000,000","1 anos
11.72FPG "
Elfrid Payton,28.56,11.88,11.60,2.12,2.60,1.20,3.68,1.96,0.64,0.24,2.08,11.63,0.41," $10,000,000","3 anos
11.63FPG "
Jae Crowder,28.20,10.30,8.90,1.55,4.35,0.25,2.20,0.85,0.90,0.05,2.20,11.61,0.41," $2,500,000","1 anos
11.61FPG "
Danny Green,28.08,9.04,8.13,0.50,2.54,1.04,2.04,1.29,1.13,0.75,1.54,11.51,0.41," $4,000,000","1 anos
11.51FPG "
Anthony Edwards,27.08,14.04,13.79,2.25,2.58,0.67,2.17,1.54,0.75,0.33,1.54,11.44,0.42," $5,500,000","4 anos
11.44FPG "
Duncan Robinson,33.57,13.00,9.70,1.61,3.74,0.04,1.70,1.57,0.39,0.30,2.00,11.38,0.34," $4,000,000","4 anos
11.38FPG "
Khem Birch,22.13,6.79,5.00,2.29,3.21,2.88,1.29,0.67,0.75,0.63,1.79,11.35,0.51," $1,000,000","3 anos
11.35FPG "
Xavier Tillman,22.07,8.07,6.71,0.86,3.64,1.36,1.64,0.64,1.00,0.79,2.50,11.31,0.51," $1,000,000","4 anos
11.31FPG "
Robert Williams III,15.29,5.94,3.65,0.88,3.29,2.24,0.71,1.12,0.94,1.24,1.47,11.27,0.74," $2,500,000","2 anos
11.27FPG "
De'Anthony Melton,21.00,9.54,8.15,0.62,2.54,0.31,3.00,1.38,0.92,0.92,2.00,11.22,0.53," $1,500,000","3 anos
11.22FPG "
Derrick Favors,16.64,6.14,4.09,1.64,3.68,2.14,1.05,0.59,0.55,1.18,2.50,11.15,0.67," $13,000,000","2 anos
11.15FPG "
Jarred Vanderbilt,19.45,6.36,4.41,1.95,4.36,1.73,1.86,1.00,1.14,0.68,2.09,11.12,0.57," $1,000,000","1 anos
11.12FPG "
Terrence Ross,27.74,13.74,11.65,2.65,2.48,0.30,1.87,1.70,1.04,0.35,1.96,11.11,0.40," $5,000,000","3 anos
11.11FPG "
Carmelo Anthony,25.30,11.60,10.65,2.75,3.25,0.30,1.30,0.90,0.90,0.80,2.00,10.96,0.43," $5,000,000","2 anos
10.96FPG "
Lou Williams,20.65,10.35,8.83,2.70,1.78,0.39,3.26,1.35,0.78,0.09,1.04,10.95,0.53," $8,000,000","1 anos
10.95FPG "
Cedi Osman,27.36,11.76,11.28,1.36,2.48,0.72,2.76,1.12,0.88,0.12,2.20,10.94,0.40," $1,000,000","2 anos
10.94FPG "
Marcus Morris Sr.,24.50,11.50,9.06,1.50,2.94,0.63,0.81,0.94,0.56,0.19,1.50,10.92,0.45," $2,000,000","3 anos
10.92FPG "
Miles Bridges,25.96,9.39,7.91,1.00,4.04,0.91,2.09,1.70,0.65,0.83,2.43,10.89,0.42," $3,000,000","2 anos
10.89FPG "
T.J. Warren,30.50,15.50,12.75,2.50,3.00,0.50,1.25,1.00,0.50,0.00,4.00,10.88,0.36," $6,500,000","3 anos
10.88FPG "
Maxi Kleber,25.00,7.14,4.93,1.29,4.50,1.00,1.50,0.64,0.29,0.86,2.29,10.87,0.43," $2,000,000","2 anos
10.87FPG "
Ish Smith,21.53,6.13,7.07,0.87,3.00,0.60,4.60,1.00,0.73,0.27,1.00,10.84,0.50," $1,000,000","3 anos
10.84FPG "
Josh Richardson,32.31,13.13,10.94,2.44,2.06,1.00,2.31,1.38,0.94,0.25,3.06,10.82,0.33," $10,500,000","2 anos
10.82FPG "
Bismack Biyombo,24.19,6.57,5.05,2.10,4.00,2.38,1.52,1.00,0.29,1.19,2.43,10.79,0.45," $3,000,000","1 anos
10.79FPG "
Wayne Ellington,25.20,12.73,8.87,0.80,1.73,0.47,1.20,0.87,0.53,0.20,1.47,10.65,0.42," $1,000,000","2 anos
10.65FPG "
Robert Covington,30.89,7.00,7.47,0.74,5.00,0.74,1.79,1.16,1.74,0.47,2.68,10.62,0.34," $8,000,000","3 anos
10.62FPG "
Gary Trent Jr.,28.21,13.37,11.79,1.11,1.37,0.58,1.05,0.58,0.58,0.21,1.47,10.56,0.37," $3,000,000","4 anos
10.56FPG "
Patrick Beverley,26.25,8.06,6.56,1.31,3.19,1.25,2.13,0.75,1.00,0.75,3.50,10.55,0.40," $3,500,000","3 anos
10.55FPG "
Immanuel Quickley,19.00,12.00,9.52,2.81,1.95,0.38,2.71,1.10,0.43,0.38,2.14,10.54,0.55," $3,000,000","4 anos
10.54FPG "
Jae'Sean Tate,26.09,8.74,6.57,1.65,3.48,1.39,1.57,1.26,0.83,0.74,2.74,10.43,0.40," $1,000,000","1 anos
10.43FPG "
Hassan Whiteside,14.94,7.69,5.50,2.63,3.81,1.44,0.44,0.94,0.31,1.13,1.75,10.29,0.69," $8,000,000","4 anos
10.29FPG "
Ricky Rubio,24.18,6.14,5.95,1.95,3.09,0.32,5.95,2.14,1.41,0.00,2.00,10.27,0.42," $5,000,000","2 anos
10.27FPG "
Spencer Dinwiddie,21.67,6.67,5.33,2.00,4.33,0.00,3.00,1.67,0.67,0.33,1.33,10.17,0.47," $3,000,000","3 anos
10.17FPG "
Danuel House Jr.,27.75,8.67,7.58,1.58,3.25,0.33,2.08,0.67,0.67,0.33,1.92,10.01,0.36," $1,000,000","1 anos
10.01FPG "
Isaiah Roby,20.33,8.56,6.33,1.78,3.17,1.50,1.28,1.06,0.67,0.67,2.33,9.99,0.49, $0,"2 anos
9.99FPG "
Derrick White,24.33,9.67,11.00,1.00,1.50,0.17,3.83,1.17,0.50,1.17,1.83,9.98,0.41," $1,000,000","1 anos
9.98FPG "
Taurean Prince,22.42,9.13,7.21,2.13,3.25,0.38,1.75,1.13,0.75,0.71,1.88,9.98,0.45," $5,000,000","4 anos
9.98FPG "
Dario Saric,18.86,10.57,8.29,1.86,4.14,0.43,1.00,1.57,0.57,0.14,2.00,9.93,0.53," $3,500,000","4 anos
9.93FPG "
JaVale McGee,15.82,7.71,6.82,2.24,3.82,1.71,1.06,1.18,0.53,1.18,2.35,9.91,0.63," $1,000,000","2 anos
9.91FPG "
Dorian Finney-Smith,29.88,8.56,7.50,0.75,3.25,1.50,1.19,0.63,1.00,0.38,2.75,9.89,0.33," $1,500,000","3 anos
9.89FPG "
Gary Harris,31.06,10.11,8.33,1.67,1.83,0.67,1.72,0.72,0.94,0.22,1.94,9.88,0.32," $6,000,000","4 anos
9.88FPG "
Lonnie Walker IV,28.00,11.23,10.32,1.50,2.86,0.23,1.73,1.00,0.55,0.41,2.14,9.88,0.35," $3,000,000","2 anos
9.88FPG "
Cam Reddish,28.75,11.75,10.50,2.80,3.40,0.85,1.20,1.55,1.15,0.20,2.60,9.87,0.34," $4,000,000","3 anos
9.87FPG "
David Nwaba,23.26,8.89,7.42,1.84,2.16,1.16,1.26,0.58,1.16,0.68,2.16,9.82,0.42,0,0
Josh Jackson,23.95,12.29,10.57,2.95,2.90,0.71,1.90,2.14,0.86,0.95,3.00,9.80,0.41," $4,500,000","1 anos
9.80FPG "
Frank Kaminsky,14.94,6.65,5.59,1.00,3.35,0.88,1.82,0.47,0.18,0.59,1.59,9.79,0.66," $1,000,000","1 anos
9.79FPG "
Jeff Green,26.20,9.20,6.24,1.52,3.24,0.44,1.28,0.92,0.72,0.24,2.08,9.78,0.37," $1,500,000","1 anos
9.78FPG "
John Konchar,17.27,5.09,3.73,0.91,3.00,1.27,1.55,0.27,1.09,0.36,1.36,9.67,0.56," $1,000,000","1 anos
9.67FPG "
Denzel Valentine,18.75,7.95,7.75,0.10,3.55,0.25,1.85,0.65,0.90,0.05,1.20,9.65,0.51," $1,000,000","1 anos
9.65FPG "
Grayson Allen,21.79,8.29,6.21,2.14,2.36,0.50,1.86,1.00,1.00,0.21,1.00,9.61,0.44," $1,500,000","2 anos
9.61FPG "
Patrick Williams,26.78,10.22,8.13,2.00,3.57,0.83,1.04,1.52,0.70,0.57,2.35,9.60,0.36," $3,500,000","4 anos
9.60FPG "
Bogdan Bogdanovic,24.00,9.89,8.67,1.00,3.56,0.22,2.11,1.22,0.44,0.11,2.00,9.59,0.40," $1,000,000","1 anos
9.59FPG "
Sterling Brown,20.57,7.48,6.10,0.38,2.81,0.76,1.67,0.62,1.05,0.24,1.90,9.55,0.46," $1,000,000","1 anos
9.55FPG "
Reggie Jackson,19.55,8.00,7.00,1.00,2.45,0.27,2.91,0.86,0.59,0.14,1.68,9.51,0.49," $7,000,000","3 anos
9.51FPG "
Dwight Howard,17.04,5.83,3.79,2.92,5.21,2.50,0.63,1.96,0.50,0.88,3.13,9.50,0.56," $3,500,000","4 anos
9.50FPG "
Yogi Ferrell,20.50,9.50,10.50,1.00,2.00,1.50,2.50,1.50,1.50,0.50,2.00,9.45,0.46,0,0
PJ Dozier,19.71,7.12,5.53,1.47,3.18,0.94,1.35,0.76,0.53,0.59,1.71,9.44,0.48," $1,000,000","2 anos
9.44FPG "
Luguentz Dort,28.82,11.45,9.68,2.05,2.68,0.59,1.27,1.23,0.86,0.27,2.50,9.41,0.33, $0,"1 anos
9.41FPG "
Tomas Satoransky,18.83,5.42,3.92,1.08,2.25,0.33,4.50,1.58,0.75,0.25,1.00,9.38,0.50," $4,000,000","3 anos
9.38FPG "
Pat Connaughton,17.86,5.76,4.76,0.38,2.95,0.90,1.38,0.19,0.52,0.38,1.24,9.35,0.52," $1,000,000","1 anos
9.35FPG "
Nickeil Alexander-Walker,21.37,9.84,9.37,1.58,2.68,0.21,2.11,1.53,1.26,0.37,1.95,9.24,0.43," $2,000,000","3 anos
9.24FPG "
Kentavious Caldwell-Pope,25.71,9.10,6.81,1.19,2.00,0.33,1.43,0.90,0.67,0.33,1.67,9.20,0.36," $6,000,000","1 anos
9.20FPG "
Mike Muscala,18.71,9.71,7.48,1.14,2.90,0.62,0.62,0.71,0.29,0.29,1.43,9.18,0.49," $1,500,000","2 anos
9.18FPG "
Juan Toscano-Anderson,21.09,5.64,3.36,0.55,4.45,0.27,2.00,0.91,0.45,0.64,2.09,9.17,0.43," $1,000,000","1 anos
9.17FPG "
Tyrese Maxey,18.13,9.00,8.21,0.83,1.83,0.25,1.88,0.67,0.63,0.13,1.29,9.05,0.50," $3,000,000","4 anos
9.05FPG "
Tony Bradley,12.78,4.33,3.89,0.56,3.22,2.33,0.67,0.11,0.33,0.67,1.22,9.01,0.71," $1,000,000","1 anos
9.01FPG "
Desmond Bane,22.95,9.84,7.58,0.79,2.32,0.42,1.58,1.11,0.63,0.16,1.95,8.96,0.39," $1,500,000","4 anos
8.96FPG "
Marquese â  Chriss,13.00,6.50,7.00,2.00,5.00,1.50,1.00,1.00,0.00,1.00,1.50,8.90,0.68," $1,000,000","2 anos
8.90FPG "
Payton Pritchard,20.81,8.00,6.06,0.63,2.06,0.44,2.44,1.38,0.81,0.25,1.75,8.88,0.43, $0,"2 anos
8.88FPG "
Davis Bertans,25.00,10.88,9.00,2.25,2.50,0.44,1.06,0.75,0.69,0.31,2.31,8.86,0.35," $2,000,000","2 anos
8.86FPG "
Juancho Hernangomez,19.50,6.50,5.92,1.17,4.08,1.08,0.58,0.42,0.42,0.17,0.92,8.77,0.45," $2,500,000","3 anos
8.77FPG "
Andre Iguodala,21.52,4.76,4.52,0.52,3.33,0.48,2.57,1.05,1.19,0.38,1.48,8.73,0.41," $1,000,000","3 anos
8.73FPG "
Luke Kennard,22.44,8.32,6.68,0.52,2.60,0.20,1.80,0.92,0.28,0.24,1.64,8.72,0.39," $3,500,000","1 anos
8.72FPG "
Tacko Fall,10.00,3.60,2.20,0.80,3.20,1.00,0.00,0.20,0.00,1.80,1.40,8.68,0.87, $0,"1 anos
8.68FPG "
Robin Lopez,19.26,7.47,4.95,2.00,2.26,2.11,1.05,0.95,0.16,0.58,1.95,8.63,0.45," $3,000,000","1 anos
8.63FPG "
Derrick Jones Jr.,27.17,7.17,5.83,1.89,2.50,1.56,0.67,0.78,1.00,0.89,2.50,8.56,0.31," $5,000,000","2 anos
8.56FPG "
Eric Paschall,17.57,9.67,7.76,2.43,2.00,0.86,1.24,0.62,0.19,0.10,1.67,8.52,0.48, $0,"1 anos
8.52FPG "
